order_id,customer_id,book_title,no_of_copies,total_price,order_time
1,1,Atomic Habits,2,998.00,2025-11-05 10:30:00+05:30
2,1,The Alchemist,1,350.00,2025-11-06 14:15:00+05:30
3,2,Sapiens,3,2097.00,2025-11-07 09:00:00+05:30
4,3,Deep Work,1,499.00,2025-11-08 16:45:00+05:30
5,3,Rich Dad Poor Dad,2,700.00,2025-11-08 16:50:00+05:30
6,3,The Psychology of Money,1,399.00,2025-11-10 11:20:00+05:30
7,4,Ikigai,1,299.00,2025-12-01 08:00:00+05:30
8,4,The Subtle Art of Not Giving a F*ck,2,798.00,2025-12-01 08:05:00+05:30
9,5,Thinking Fast and Slow,1,599.00,2025-12-03 13:30:00+05:30
10,6,Educated,1,450.00,2025-12-10 19:00:00+05:30
11,6,Becoming,2,1100.00,2025-12-10 19:05:00+05:30
12,6,The Power of Habit,1,425.00,2025-12-12 10:00:00+05:30
13,6,Quiet,3,1347.00,2025-12-15 15:30:00+05:30
14,7,Clean Code,1,2500.00,2025-12-20 07:45:00+05:30
15,8,You Don't Know JS,2,1800.00,2025-12-22 12:00:00+05:30
16,9,The Pragmatic Programmer,1,3200.00,2025-12-25 09:30:00+05:30
17,9,Introduction to Algorithms,1,4500.00,2025-12-25 09:35:00+05:30
18,1,The Lean Startup,1,499.00,2026-01-02 11:00:00+05:30
19,2,Zero to One,2,898.00,2026-01-05 14:00:00+05:30
20,2,Start With Why,1,375.00,2026-01-05 14:10:00+05:30
21,3,Hooked,1,350.00,2026-01-08 17:20:00+05:30
22,5,Man's Search for Meaning,3,1197.00,2026-01-10 08:30:00+05:30
23,5,Meditations,1,250.00,2026-01-10 08:35:00+05:30
24,7,Design Patterns,1,3100.00,2026-01-12 10:00:00+05:30
25,7,Refactoring,2,5400.00,2026-01-12 10:05:00+05:30
26,8,Eloquent JavaScript,1,1200.00,2026-01-15 16:00:00+05:30
27,1,Shoe Dog,1,499.00,2026-01-18 09:00:00+05:30
28,4,The 5 AM Club,1,350.00,2026-01-20 05:00:00+05:30
29,6,Dare to Lead,1,550.00,2026-01-22 13:45:00+05:30
30,9,Cracking the Coding Interview,2,6000.00,2026-01-25 11:00:00+05:30
31,16,The God of Small Things,1,399.00,2026-01-28 10:30:00+05:30
32,16,Train to Pakistan,2,500.00,2026-01-28 10:35:00+05:30
33,17,Wings of Fire,1,299.00,2026-02-01 07:00:00+05:30
34,20,The White Tiger,1,350.00,2026-02-03 18:00:00+05:30
35,20,A Suitable Boy,2,1200.00,2026-02-03 18:10:00+05:30
